iter	Passed	Remaining
0	2	267
1	5	249
2	7	234
3	8	214
4	11	211
5	13	207
6	15	205
7	17	203
8	20	202
9	22	199
10	24	198
11	26	194
12	28	189
13	30	185
14	32	183
15	33	178
16	35	174
17	37	170
18	38	166
19	40	162
20	42	159
21	44	156
22	45	153
23	48	153
24	50	151
25	52	148
26	54	146
27	55	143
28	57	141
29	59	138
30	61	137
31	63	134
32	65	132
33	66	129
34	68	127
35	70	125
36	72	124
37	75	122
38	77	121
39	79	118
40	81	116
41	81	112
42	83	110
43	85	108
44	86	106
45	88	104
46	90	102
47	92	100
48	94	98
49	96	96
50	98	94
51	99	92
52	101	90
53	103	88
54	104	85
55	106	83
56	108	82
57	110	80
58	112	78
59	114	76
60	116	74
61	119	73
62	121	71
63	123	69
64	126	67
65	128	66
66	130	64
67	132	62
68	134	60
69	136	58
70	139	56
71	141	54
72	143	53
73	146	51
74	148	49
75	150	47
76	152	45
77	154	43
78	156	41
79	158	39
80	160	37
81	162	35
82	165	33
83	167	31
84	169	29
85	171	27
86	173	25
87	175	23
88	177	21
89	180	20
90	182	18
91	185	16
92	187	14
93	190	12
94	192	10
95	195	8
96	197	6
97	199	4
98	201	2
99	203	0
